款,項,目,節,説明,R6,R7
市税,,,,,,46460600000
,市民税,,,,17573300000,16739000000
,,個人,,,15208500000,14297700000
,,法人,,,2364800000,2441300000
,固定資産税,,,,23338800000,23139800000
,,固定資産税,,,23282800000,23084800000
,,,現年課税分,,,22998000000
,,,滞納繰越分,,,86800000
,,国有資産等所在市町村交付金,,,56000000,55000000
,軽自動車税,,,,867400000,887800000
,,環境性能割,,,57000000,50000000
,,種別割,,,810400000,837800000
,市たばこ税,,,,1920000000,1987000000
,,市たばこ税,,,1920000000,1987000000
,,,従量割,,,1987000000
,都市計画税,,,,3750300000,3707000000
,,都市計画税,,,3750300000,3707000000
,,,現年課税分,,,3693000000
,,,滞納繰越分,,,14000000
地方譲与税,,,,,658000000,678000000
,地方揮発油譲与税,,,,140000000,140000000
,,地方揮発油譲与税,,,140000000,140000000
,自動車重量譲与税,,,,450000000,450000000
,,自動車重量譲与税,,,450000000,450000000
,森林環境譲与税,,,,58000000,78000000
,,森林環境譲与税,,,58000000,78000000
,特別とん譲与税,,,,10000000,10000000
,,特別とん譲与税,,,10000000,10000000
利子割交付金,,,,,,16000000
,利子割交付金,,,,,16000000
,,利子割交付金,,,20000000,16000000
,,,利子割交付金,,,16000000
配当割交付金,,,,,150000000,200000000
,配当割交付金,,,,150000000,200000000
,,配当割交付金,,,150000000,200000000
株式等譲渡所得割交付金,,,,,,250000000
,株式等譲渡所得割交付金,,,,100000000,250000000
,,株式等譲渡所得割交付金,,,100000000,250000000
,,,株式等譲渡所得割交付金,,,250000000
法人事業税交付金,,,,,600000000,650000000
,法人事業税交付金,,,,600000000,650000000
,,法人事業税交付金,,,600000000,650000000
,,,法人事業税交付金,,,650000000
地方消費税交付金,,,,,6500000000,6200000000
,地方消費税交付金,,,,6500000000,6200000000
,,地方消費税交付金,,,6500000000,6200000000
ゴルフ場利用税交付金,,,,,,67000000
,ゴルフ場利用税交付金,,,,,67000000
,,ゴルフ場利用税交付金,,,70000000,67000000
,,,ゴルフ場利用税交付金,,,67000000
環境性能割交付金,,,,,90000000,90000000
,環境性能割交付金,,,,90000000,90000000
,,環境性能割交付金,,,90000000,90000000
,,,環境性能割交付金,,,90000000
地方特例交付金,,,,,,1502000000
,地方特例交付金,,,,310000000,1459000000
,,地方特例交付金,,,310000000,1459000000
,,,地方特例交付金,,,1459000000
,新型コロナウイルス感染症対策地方税減収補定額減税減収補特別交付金,,,,40000000,43000000
,,新型コロナウイルス感染症対策地方税減収補特別交付金,,,40000000,43000000
,,,新型コロナウイルス感染症対策地方税減収補特別交付金,,,43000000
地方交付税,,,,,,100000000
,地方交付税,,,,,100000000
,,地方交付税,,,100000000,100000000
,,,特別交付税,,,100000000
交通安全対策特別交付金,,,,,50000000,40000000
,交通安全対策特別交付金,,,,50000000,40000000
,,交通安全対策特別交付金,,,50000000,40000000
,,,交通安全対策特別交付金,,,40000000
分担金及び負担金,,,,,903649000,923407000
,負担金,,,,903649000,923407000
,,総務費負担金,,,90973000,93622000
,,民生費負担金,,,287996000,312091000
,,衛生費負担金,,,450548000,440556000
,,土木費負担金,,,4292000,4295000
,,消防費負担金,,,47584000,52891000
,,教育費負担金,,,22256000,19952000
使用料及び手数料,,,,,1333311000,1345606000
,使用料,,,,908429000,925759000
,,総務使用料,,,13000,13000
,,民生使用料,,,160497000,186079000
,,衛生使用料,,,108918000,109325000
,,農林水産業使用料,,,74000,72000
,,商工使用料,,,590000,583000
,,土木使用料,,,539367000,527663000
,,消防使用料,,,430000,424000
,,教育使用料,,,98540000,101600000
,手数料,,,,424882000,419847000
,,総務手数料,,,96596000,99166000
,,民生手数料,,,686000,465000
,,衛生手数料,,,295053000,282791000
,,農林水産業手数料,,,87000,64000
,,商工手数料,,,1000,1000
,,土木手数料,,,19773000,24884000
,,消防手数料,,,10745000,10535000
,,教育手数料,,,1941000,1941000
国庫支出金,,,,,,16482873000
,国庫負担金,,,,,12257787000
,,民生費負担金,,,11269369000,12037068000
,,教育費負担金,,,250000000,220719000
,国庫補助金,,,,,4176782000
,,総務費補助金,,,66658000,80002000
,,民生費補助金,,,617150000,1170690000
,,衛生費補助金,,,121292000,131415000
,,農林水産業費補助金,,,24700000,20500000
,,商工費補助金,,,69198000,25246000
,,土木費補助金,,,943924000,1884998000
,,消防費補助金,,,3000000,1145000
,,教育費補助金,,,400589000,862786000
,国庫委託金,,,,,48304000
,,総務費委託金,,,1492000,1473000
,,民生費委託金,,,47774000,46831000
,,商工費委託金,,,8000000,0
県支出金,,,,,,7269443000
,県負担金,,,,4566575000,4704900000
,,民生費負担金,,,4441575000,4594541000
,,教育費負担金,,,125000000,110359000
,県補助金,,,,1924015000,2091327000
,,総務費補助金,,,54130000,55454000
,,民生費補助金,,,1147262000,1110807000
,,衛生費補助金,,,53474000,50760000
,,労働費補助金,,,350000,583000
,,農林水産業費補助金,,,87435000,66990000
,,商工費補助金,,,238275000,161419000
,,土木費補助金,,,121560000,435053000
,,消防費補助金,,,95247000,95954000
,,教育費補助金,,,126282000,114307000
,県委託金,,,,504647000,473216000
,,総務費委託金,,,475290000,443634000
,,民生費委託金,,,6272000,8227000
,,衛生費委託金,,,16781000,14190000
,,農林水産業費委託金,,,1997000,2073000
,,商工費委託金,,,296000,186000
,,土木費委託金,,,946000,1180000
,,消防費委託金,,,418000,418000
,,教育費委託金,,,2647000,3308000
財産収入,,,,,193760000,286054000
,財産運用収入,,,,101606000,120923000
,,財産貸付収入,,,81961000,82924000
,,,土地建物貸付収入,,,82924000
,,利子及び配当金,,,19645000,37999000
,,,基金利子,,,36406000
,,,株式配当金,,,1593000
,財産売払収入,,,,103154000,165131000
,,不動産売払収入,,,90271000,153399000
,,,土地売払収入,,,153398000
,,,建物売払収入,,,1000
,,物品売払収入,,,8338000,7847000
,,,物品売払収入,,,7847000
,,立木売払収入,,,4545000,3885000
,,,立木売払収入,,,3885000
寄附金,,,,,1506806000,3506306000
,寄附金,,,,1506806000,3506306000
,,総務費寄附金,,,1502500000,3502000000
,,,総務管理費寄附金,,,3502000000
,,民生費寄附金,,,2000000,2000000
,,,社会福祉費寄附金,,,2000000
,,衛生費寄附金,,,1801000,1801000
,,,環境対策費寄附金,,,1800000
,,,病院費寄附金,,,1000
,,消防費寄附金,,,2000,2000
,,,消防費寄附金,,,1000
,,,防災費寄附金,,,1000
,,教育費寄附金,,,503000,503000
,,,小学校費寄附金,,,1000
,,,中学校費寄附金,,,1000
,,,社会教育費寄附金,,,500000
,,,体育保健費寄附金,,,1000
繰入金,,,,,,849080000
,特別会計繰入金,,,,772339000,130494000
,,後期高齢者医療事業特別会計繰入金,,,15204000,100743000
,,,後期高齢者医療事業特別会計繰入金,,,100743000
,,介護保険事業特別会計繰入金,,,15204000,100743000
,,,高齢者対策事業費充当,,,299000
,,,要援護高齢者対策事業費充当,,,409000
,,,重層的支援体制整備事業充当,,,100034000
,,,その他分,,,1000
,,駐車場事業特別会計繰入金,,,26000000,29000000
,,,駐車場事業特別会計繰入金,,,29000000
,,鈴川財産区他特別会計繰入金,,,700000,750000
,,,森林被害木対策事業費充当,,,750000
,,,鈴川財産区特別会計繰入金,,,150000
,,,今井財産区特別会計繰入金,,,150000
,,,大野新田財産区特別会計繰入金,,,150000
,,,檜新田財産区特別会計繰入金,,,150000
,,,田中新田財産区特別会計繰入金,,,150000
,基金繰入金,,,,1198740000,718586000
,,財政調整基金繰入金,,,400000000,300000000
,,,財源調整分,,,300000000
,,育英奨学基金繰入金,,,5000000,5000000
,,,育英奨学資金事業費充当,,,5000000
,,福祉基金繰入金,,,28470000,24914000
,,,女性保護相談事業費充当,,,50000
,,,社会福祉センター運営管理事業費充当,,,1000000
,,,社会福祉協議会助成費充当,,,1500000
,,,放課後児童クラブ施設管理費充当,,,1000000
,,,子どもの貧困対策事業費充当,,,1044000
,,,就労機能パワーアップ事業費充当,,,1500000
,,,ふじやま学園管理費充当,,,4430000
,,,こども発達センター費充当,,,14390000
,,国際交流基金繰入金,,,2000000,5500000
,,,海外都市交流事業費充当,,,5500000
,,文化振興基金繰入金,,,7500000,8209000
,,,文化振興基金助成費充当,,,1800000
,,,文化会館自主事業助成費充当,,,5000000
,,,総合体育館文化創造事業費充当,,,1409000
,,教育振興基金繰入金,,,2560000,2560000
,,,教育研究事業費充当,,,2000000
,,,教育研究指定校事業費充当,,,480000
,,,幼稚園教育研究事業費充当,,,80000
,,ふるさと・水と土基金繰入金,,,1000000,1000000
,,,農用地地域共同活動事業費充当,,,1000000
,,新環境クリーンセンター建設基金繰入金,,,179000000,100000000
,,,新環境クリーンセンター建設事業費充当,,,100000000
,,大村教育施設等整備基金繰入金,,,16000000,20000000
,,,古谿荘保護管理事業費充当,,,20000000
,,公共建築物保全基金繰入金,,,200000000,200000000
,,,まちづくりセンターリニューアル事業費充当,,,20000000
,,,小学校屋内運動場リニューアル事業費充当,,,10000000
,,,小学校長寿命化改修事業費充当,,,80000000
,,,中学校屋内運動場リニューアル事業費充当,,,10000000
,,,中学校長寿命化改修事業費充当,,,80000000
,,総合体育館建設基金繰入金,,,310000000,3515000
,,,総合体育館建設事業費充当,,,3515000
,,ふるさと応援基金繰入金,,,1096000,1467000
,,,魅力創造発信事業費充当,,,110000
,,,ユニバーサル就労推進事業費充当,,,20000
,,,富士山麓ブナ林創造事業費充当,,,89000
,,,富士山活用推進事業費充当,,,160000
,,,富士山女子駅伝事業費充当,,,26000
,,,花いっぱい・緑いっぱい事業費充当,,,105000
,,,備蓄資機材整備事業費充当,,,957000
,,森林環境基金繰入金,,,36060000,38641000
,,,林業振興事業費充当,,,3000000
,,,森林経営管理事業費充当,,,33641000
,,,富士ひのきの森整備事業費充当,,,2000000
,,富士・愛鷹山麓地域森林機能保全基金繰入金,,,0,1800000
,,,富士・愛鷹山麓地域環境管理計画推進事業費充当,,,1800000
,,企業版ふるさと納税基金繰入金,,,0,5980000
,,,SDGs推進事業費充当,,,4980000
,,,田子の浦港にぎわい推進事業費充当,,,1000000
繰越金,,,,,1000000000,1000000000
,繰越金,,,,1000000000,1000000000
,,前年度繰越金,,,1000000000,1000000000
,,,前年度繰越金,,,1000000000
諸収入,,,,,,3207031000
,延滞金加算金及び過料,,,,30002000,30002000
,市預金利子,,,,407000,2799000
,貸付金元利収入,,,,17000000,8000000
,受託事業収入,,,,5325000,5327000
,雑入,,,,2408478000,3160903000
市債,,,,,5963000000,10676600000
,総務債,,,,227300000,393700000
,民生債,,,,16800000,116600000
,衛生債,,,,222200000,480900000
,労働債,,,,0,104700000
,農林水産業債,,,,123700000,129000000
,商工債,,,,32100000,13300000
,土木債,,,,2133000000,2952300000
,消防債,,,,116400000,404700000
,教育債,,,,3071500000,6045400000
,災害復旧債,,,,20000000,36000000
議会費,,,,,489257000,481596000
,議会費,,,,489257000,481596000
,,議会費,,,489257000,481596000
,,,報酬,,,206011000
,,,,001 給与費（内訳 {'001 市議会議員 32人': 353736000}）,,442593000
,,,給料,,,44027000
,,,職員手当等,,,118592000
,,,,002 議会活動費,,38428000
,,,共済費,,,73817000
,,,報償費,,,196000
,,,旅費,,,3741000
,,,交際費,,,200000
,,,,003 議会事務局運営費,,575000
,,,需用費,,,6688000
,,,役務費,,,1949000
,,,委託料,,,6844000
,,,使用料及び賃借料,,,5386000
,,,備品購入費,,,80000
,,,負担金、補助及び交付金,,,14065000
総務費,,,,,7519634000,9013376000
,総務管理費,,,,7195011000,7519634000
,,一般管理費,,,2122248000,2074044000
,,,報酬,,,46361000
,,,給料,,,765532000
,,,職員手当等,管理職手当 20920000、扶養手当 23366000、地域手当 23223000、住居手当 7492000、通勤手当 16852000、時間外勤務手当 77078000、休日勤務手当 1800000、期末手当 186648000、勤勉手当 138772000、退職手当 421884000、児童手当 120246000,,1038281000
,,,共済費,,,261180000
,,,災害補償費,,,50000
,,,報償費,,,8240000
,,,旅費,普通旅費 303000、特別旅費 1172000,,1475000
,,,需用費,消耗品費 1219000、食糧費 7000、印刷製本費 228000,,1454000
,,,役務費,手数料 8000、保険料 2995000,,3003000
,,,使用料及び賃借料,,,100000
,,,負担金、補助及び交付金,負担金 2488000,,2488000
,,,積立金,,,531000
,,人事管理費,,,175506000,191399000
,,,報酬,,,46361000
,,,,特別職報酬等審議会委員（人数 10）,,211000
,,,,公務災害補償等認定委員会委員（人数 4）,,40000
,,,,公務災害補償等審査会委員（人数 2）,,20000
,,,,パートタイム会計年度任用職員,,105919000
,,,職員手当等,期末手当 8955000、勤勉手当 1097000,,10052000
,,,共済費,,,47341000
,,,災害補償費,,,50000
,,,報償費,,,8240000
,,,旅費,費用弁償 2484000、普通旅費 135000、特別旅費 3539000,,6158000
,,,需用費,消耗品費 4767000、燃料費 9000、食糧費 126000、印刷製本費 762000、医薬材料費 40000,,5704000
,,,役務費,広告料 488000、手数料 92000、筆耕翻訳料 12000、保険料 38000,,630000
,,,委託料,,,54582000
,,,使用料及び賃借料,,,5877000
,,,負担金、補助及び交付金,負担金 3924000、補助金 2480000,,6404000
,,文書費,,,63080000,61802000
,,,報酬,,,5859000
,,,,情報公開審査会委員（人数 5）,,50000
,,,,個人情報保護審査会委員（人数 5）,,50000
,,,,行政不服審査会委員（人数 5）,,100000
,,,,パートタイム会計年度任用職員,,8470000
,,,職員手当等,期末手当 1135000、勤勉手当 139000,,1274000
,,,共済費,,,1208000
,,,旅費,費用弁償 349000、普通旅費 19000,,368000
,,,需用費,消耗品費 4991000、食糧費 3000、印刷製本費 6149000、光熱水費 17000、修繕料 110000,,11270000
,,,役務費,通信運搬費 21543000、保管料 3088000、手数料 1860000,,26491000
,,,委託料,,,7517000
,,,使用料及び賃借料,,,7637000
,,,備品購入費,,,73000
,,,負担金、補助及び交付金,負担金 105000,,105000
,,市史編さん費,,,3544000,3824000
,,,報酬,パートタイム会計年度任用職員 3682000,,2529000
,,,職員手当等,期末手当 517000、勤勉手当 64000,,581000
,,,共済費,,,494000
,,,旅費,費用弁償 78000、普通旅費 15000,,93000
,,,需用費,消耗品費 50000、印刷製本費 77000,,127000
,,広報広聴費,,,97891000,95342000
,,,報酬,パートタイム会計年度任用職員 3460000,,3241000
,,,報償費,,,100000
,,,旅費,費用弁償 219000、普通旅費 14000、特別旅費 103000,,336000
,,,需用費,消耗品費 685000、印刷製本費 45795000、修繕料 100000,,46580000
,,,役務費,通信運搬費 164000、広告料 11676000,,11840000
,,,委託料,,,24005000
,,,使用料及び賃借料,,,8196000
,,,負担金、補助及び交付金,負担金 344000、補助金 700000,,1044000
,,シティプロモーション費,,,68765000,90886000
,,,報酬,パートタイム会計年度任用職員 3096000,,2093000
,,,職員手当等,期末手当 419000、勤勉手当 52000,,471000
,,,共済費,,,410000
,,,報償費,,,1009000
,,,旅費,費用弁償 160000、普通旅費 240000,,400000
,,,需用費,消耗品費 521000、食糧費 5000、印刷製本費 758000,,1284000
,,,役務費,通信運搬費 53000、広告料 2853000,,2906000
,,,委託料,,,15468000
,,,使用料及び賃借料,,,825000
,,,備品購入費,,,238000
,,,負担金、補助及び交付金,負担金 272000、補助金 65060000,,65332000
,,,償還金、利子及び割引料,,,450000
,,市民相談費,,,15347000,15367000
,,,報酬,,,8669000
,,,職員手当等,期末手当 1762000、勤勉手当 216000,,1978000
,,,共済費,,,432000
,,,報償費,,,1271000
,,,旅費,費用弁償 353000、普通旅費 13000、特別旅費 5000,,371000
,,,需用費,消耗品費 80000,,80000
,,,委託料,,,2068000
,,,負担金、補助及び交付金,負担金 98000,,98000
,,,扶助費,,,400000
,,消費者対策費,,,24382000,27011000
,,,報酬,,,14148000
,,,,消費者教育推進地域協議会委員（人数 8）,,72000
,,,職員手当等,期末手当 2842000、勤勉手当 348000,,3190000
,,,共済費,,,2838000
,,,報償費,,,349000
,,,旅費,費用弁償 906000、普通旅費 4000、特別旅費 1000,,911000
,,,需用費,消耗品費 300000、印刷製本費 1314000,,1614000
