款,項,目,節,説明,R6,R7
予備費,,,,,100000,100000
,予備費,,,,100000,100000
公債費,,,,,7242167,7155071
,公債費,,,,7242167,7155071
労働費,,,,,272120,256499
,労働費,,,,272120,256499
商工費,,,,,3384221,4156662
,商工費,,,,3384221,4156662
土木費,,,,,12237243,12011843
,土木管理費,,,,,476233
,道路橋梁費,,,,,2430806
,河川費,,,,,840565
,港湾費,,,,,217473
,都市計画費,,,,,3958838
,公園費,,,,,1502899
,下水道費,,,,,1772175
,住宅費,,,,,812854
教育費,,,,,17016181,13345799
,教育総務費,,,,,1387247
,小学校費,,,,,2615062
,中学校費,,,,,1679572
,高等学校費,,,,,1015831
,幼稚園費,,,,,1038478
,社会教育費,,,,,1964274
,体育保健費,,,,,3645335
民生費,,,,,37723107,41840448
,社会福祉費,,,,,5880161
,老人福祉費,,,,,3924211
,児童福祉費,,,,,17791687
,障害者福祉費,,,,,10344870
,生活保護費,,,,,3899011
,災害救助費,,,,,508
消防費,,,,,3781176,3947692
,消防費,,,,3781176,3947692
災害復旧費,,,,,52000,129300
,農林水産業施設災害復旧費,,,,,119300
,土木施設災害復旧費,,,,,10000
総務費,,,,,9013376,9851001
,総務管理費,,,,,8032062
,徴税費,,,,,901591
,戸籍住民基本台帳費,,,,,537111
,選挙費,,,,,181198
,統計調査費,,,,,135440
,監査委員費,,,,,63599
衛生費,,,,,9518662,10223982
,保健衛生費,,,,,3002882
,清掃費,,,,,3326667
,環境対策費,,,,,929503
,病院費,,,,,2955852
,上水道費,,,,,9078
諸支出金,,,,,100,100
,普通財産取得費,,,,100,100
議会費,,,,,481596,499446
,議会費,,,,481596,499446
農林水産業費,,,,,978051,982157
,農業費,,,,,547555
,林業費,,,,,431652
,水産業費,,,,,2950
