款,項,目,節,説明,R6,R7
市税,,,,,,46460600000
,市民税,,,,,16739000000
,,個人,,,15208500000,14297700000
,,,現年課税分,"備考 現年課税分 14,181,000",,14181000000
,,法人,,,2364800000,2441300000
,,,現年課税分,"備考 現年課税分 2,438,000",,2438000000
,固定資産税,,,,,23139800000
,,固定資産税,,,23282800000,23084800000
,,,現年課税分,"備考 現年課税分 22,998,000",,22998000000
,,国有資産等所在市町村交付金,,,56000000,55000000
,,,現年課税分,"備考 交付金 55,000",,55000000
,軽自動車税,,,,,887800000
,,環境性能割,,,57000000,50000000
,,,環境性能割,"備考 環境性能割 50,000",,50000000
,,種別割,,,810400000,837800000
,,,現年課税分,"備考 現年課税分 830,000",,830000000
,市たばこ税,,,,,1987000000
,,市たばこ税,,,1920000000,1987000000
,,,現年課税分,"備考 従量割 1,987,000",,1987000000
,都市計画税,,,,,3707000000
,,都市計画税,,,3750300000,3707000000
,,,現年課税分,"備考 現年課税分 3,693,000",,3693000000
地方譲与税,,,,,,678000000
,地方揮発油譲与税,,,,,140000000
,,地方揮発油譲与税,,,140000000,140000000
,,,地方揮発油譲,"備考 地方揮発油譲与税 140,000",,140000000
,自動車重量譲与税,,,,,450000000
,,自動車重量譲与税,,,450000000,450000000
,,,自動車重量譲,"備考 自動車重量譲与税 450,000",,450000000
,森林環境譲与税,,,,,78000000
,,森林環境譲与税,,,58000000,78000000
,,,森林環境譲与,"備考 森林環境譲与税 78,000",,78000000
,特別とん譲与税,,,,,10000000
,,特別とん譲与税,,,10000000,10000000
,,,特別とん譲与,"備考 特別とん譲与税 10,000",,10000000
利子割交付金,,,,,,16000000
,利子割交付金,,,,,16000000
,,利子割交付金,,,20000000,16000000
,,,利子割交付金,"備考 利子割交付金 16,000",,16000000
配当割交付金,,,,,,200000000
,配当割交付金,,,,,200000000
,,配当割交付金,,,150000000,200000000
,,,配当割交付金,"備考 配当割交付金 200,000",,200000000
株式等譲渡所得割交付金,,,,,,250000000
,株式等譲渡所得割交付金,,,,,250000000
,,株式等譲渡所得割交付金,,,100000000,250000000
,,,株式等譲渡所,"備考 株式等譲渡所得割交付金 250,000",,250000000
法人事業税交付金,,,,,,650000000
,法人事業税交付金,,,,,650000000
,,法人事業税交付金,,,600000000,650000000
,,,法人事業税交,"備考 法人事業税交付金 650,000",,650000000
地方消費税交付金,,,,,,6200000000
,地方消費税交付金,,,,,6200000000
,,地方消費税交付金,,,6500000000,6200000000
,,,地方消費税交,"備考 地方消費税交付金 6,200,000",,6200000000
ゴルフ場利用税交付金,,,,,,67000000
,ゴルフ場利用税交付金,,,,,67000000
,,ゴルフ場利用税交付金,,,70000000,67000000
,,,ゴルフ場利用,"備考 ゴルフ場利用税交付金 67,000",,67000000
環境性能割交付金,,,,,,90000000
,環境性能割交付金,,,,,90000000
,,環境性能割交付金,,,90000000,90000000
,,,環境性能割交,"備考 環境性能割交付金 90,000",,90000000
地方特例交付金,,,,,,1502000000
,地方特例交付金,,,,,1459000000
,,地方特例交付金,,,310000000,1459000000
,,,地方特例交付,"備考 地方特例交付金 1,459,000",,1459000000
,新型コロナウイルス感染症対策地方税減収補 特別交付金,,,,,43000000
,,新型コロナウイルス感染症対策地方税減収補 特別,,,40000000,43000000
,,,新型コロナウ,"備考 新型コロナウイルス感染症対策地方税減収補 特別交付金 43,000",,43000000
地方交付税,,,,,,100000000
,地方交付税,,,,,100000000
,,地方交付税,,,100000000,100000000
,,,地方交付税,"備考 特別交付税 100,000",,100000000
交通安全対策特別交付金,,,,,,40000000
,交通安全対策特別交付金,,,,,40000000
,,交通安全対策特別交付金,,,50000000,40000000
,,,交通安全対策,"備考 交通安全対策特別交付金 40,000",,40000000
分担金及び負担金,,,,,,923407000
,負担金,,,,,923407000
,,総務費負担金,,,90973000,93622000
,,,総務管理費負,"備考 健康管理費企業会計負担金 18,528",,93622000
,,民生費負担金,,,287996000,312091000
,,,老人福祉費負,備考 シルバーハウジング入居者負担金 429,,43157000
,,衛生費負担金,,,450548000,440556000
,,,保健衛生費負,"備考 看護専門学校運営費負担金 29,893",,29893000
,,土木費負担金,,,4292000,4295000
,,,土木管理費負,"備考 工事設計監理費企業会計負担金 1,686",,1686000
,,消防費負担金,,,47584000,52891000
,,,消防費負担金,"備考 消防指令センター運営事業費負担金 52,891",,52891000
,,教育費負担金,,,22256000,19952000
,,,幼稚園費負担,"備考 幼稚園児扶養義務者負担金（食事分） 9,639",,10713000
使用料及び手数料,,,,,,1345606000
,使用料,,,,,925759000
,,総務使用料,,,13000,13000
,,民生使用料,,,160497000,186079000
,,,児童福祉使用,"備考 保育園等保育料 181,186",,186079000
,,衛生使用料,,,108918000,109325000
,,,保健衛生使用,"備考 墓所使用料 26,500",,80873000
,,農林水産業使用料,,,74000,72000
,,商工使用料,,,590000,583000
,,,商工使用料,備考 市有建物使用料 583,,583000
,,土木使用料,,,539367000,527663000
,,,道路橋梁使用,"備考 市道占用料 134,252",,134252000
,,消防使用料,,,430000,424000
,,,消防使用料,備考 市有土地使用料 424,,424000
,,教育使用料,,,98540000,101600000
,,,高等学校使用,"備考 高等学校授業料 81,140",,81140000
,手数料,,,,,419847000
,,総務手数料,,,96596000,99166000
,,,総務手数料,備考 行政不服審査手数料 1,,99166000
,,民生手数料,,,686000,465000
,,,社会福祉手数,備考 介護サービス事業者指定申請手数料 226,,226000
,,衛生手数料,,,295053000,282791000
,,,保健衛生手数,備考 看護専門学校入学検定等手数料 707,,10889000
,,農林水産業手数料,,,87000,64000
,,商工手数料,,,1000,1000
,,土木手数料,,,19773000,24884000
,,,道路橋梁手数,備考 放置自転車等撤去・保管手数料 177,,177000
,,消防手数料,,,10745000,10535000
,,,消防手数料,"備考 危険物施設設置等許可申請手数料 6,211",,10535000
,,教育手数料,,,1941000,1941000
,,,高等学校手数,備考 入学検定料 550,,1941000
国庫支出金,,,,,,16482873000
,国庫負担金,,,,,12257787000
,,民生費負担金,,,11269369000,12037068000
,,,社会福祉費負,"備考 生活困窮者自立相談支援事業費等負担金 12,418",,220696000
,,教育費負担金,,,250000000,220719000
,,,幼稚園費負担,"備考 施設型・地域型保育給付費負担金 220,719",,220719000
,,総務費補助金,,,66658000,80002000
,,,総務管理費補,備考 地域女性活躍推進交付金 932,,24594000
,国庫補助金,,,,,4176782000
,,民生費補助金,,,617150000,1170690000
,,,社会福祉費補,"備考 重層的支援体制整備事業交付金 49,060",,102727000
,,衛生費補助金,,,121292000,131415000
,,,保健衛生費補,"備考 感染症予防事業費等補助金 13,638",,32039000
,,農林水産業費補助金,,,24700000,20500000
,,,農業費補助金,"備考 デジタル田園都市国家構想交付金 2,000",,20500000
,,商工費補助金,,,69198000,25246000
,,,商工費補助金,"備考 小規模事業者支援推進事業費補助金 10,000",,25246000
,,土木費補助金,,,943924000,1884998000
,,,道路橋梁費補,"備考 社会資本整備総合交付金 36,500",,281225000
,,消防費補助金,,,3000000,1145000
,,,消防費補助金,"備考 デジタル田園都市国家構想交付金 1,145",,1145000
,,教育費補助金,,,400589000,862786000
,,,教育総務費補,"備考 へき地児童生徒援助費等補助金 3,148",,3148000
,国庫委託金,,,,,48304000
,,総務費委託金,,,1492000,1473000
,,,戸籍住民基本,"備考 中長期在留者住居地届出等事務委託金 1,370",,1450000
,,民生費委託金,,,47774000,46831000
,,,社会福祉費委,"備考 国民年金事務費交付金 44,715",,45829000
県支出金,,,,,,7269443000
,県負担金,,,,,4704900000
,,民生費負担金,,,4441575000,4594541000
,,,社会福祉費負,"備考 民生委員事務費負担金 35,104",,1118898000
,,教育費負担金,,,125000000,110359000
,,,幼稚園費負担,"備考 施設型・地域型保育給付費負担金 110,359",,110359000
,県補助金,,,,,2091327000
,,総務費補助金,,,54130000,55454000
,,,総務管理費補,"備考 ふじのくにフロンティア推進エリア形成事業費補助金 2,499",,55454000
