kan_name,kou_name,moku_name,setsu_layer1_name,setsu_layer2_name,setsumei_layer1_name,setsumei_layer2_name,setsumei_layer3_name,amount_2025,amount_2026,増減額,増減率,状態,増減額順位
議会費,,,,,,,,499446,488451,-10995,-2.2,減額,6002
議会費,議会費,,,,,,,499446,488451,-10995,-2.2,減額,6003
議会費,議会費,議会費,,,,,,499446,488451,-10995,-2.2,減額,6004
議会費,議会費,議会費,報酬,,,,,205923,205920,-3,0,減額,4292
議会費,議会費,議会費,給料,,,,,50061,49604,-457,-0.9,減額,5351
議会費,議会費,議会費,職員手当等当,,,,,127291,126760,-531,-0.4,減額,5391
議会費,議会費,議会費,職員手当等当,管理職手当,,,,1925,1925,0,0,横ばい,2983
議会費,議会費,議会費,職員手当等当,扶養手当,,,,2244,1318,-926,-41.3,減額,5512
議会費,議会費,議会費,職員手当等当,地域手当,,,,1627,2119,492,30.2,増額,1566
議会費,議会費,議会費,職員手当等当,住居手当,,,,336,291,-45,-13.4,減額,4755
議会費,議会費,議会費,職員手当等当,通勤手当,,,,1119,1319,200,17.9,増額,1938
議会費,議会費,議会費,職員手当等当,時間外勤務手,,,,3000,2000,-1000,-33.3,減額,5533
議会費,議会費,議会費,職員手当等当,休日勤務手当,,,,50,50,0,0,横ばい,2984
議会費,議会費,議会費,職員手当等当,期末手当,,,,12321,12061,-260,-2.1,減額,5202
議会費,議会費,議会費,職員手当等当,勤勉手当,,,,9945,9924,-21,-0.2,減額,4591
議会費,議会費,議会費,職員手当等当,議員期末手当,,,,94724,95753,1029,1.1,増額,1288
議会費,議会費,議会費,共済費,,,,,72581,66595,-5986,-8.2,減額,5908
議会費,議会費,議会費,報償費,,,,,190,190,0,0,横ばい,2985
議会費,議会費,議会費,旅費,,,,,3429,3446,17,0.5,増額,2648
議会費,議会費,議会費,旅費,費用弁償,,,,2564,2607,43,1.7,増額,2443
議会費,議会費,議会費,旅費,普通旅費,,,,10,9,-1,-10,減額,4217
議会費,議会費,議会費,旅費,特別旅費,,,,855,830,-25,-2.9,減額,4630
議会費,議会費,議会費,交際費,,,,,180,180,0,0,横ばい,2986
議会費,議会費,議会費,需用費,,,,,6943,6264,-679,-9.8,減額,5443
議会費,議会費,議会費,需用費,消耗品費,,,,711,732,21,3,増額,2607
議会費,議会費,議会費,需用費,食糧費,,,,80,80,0,0,横ばい,2987
議会費,議会費,議会費,需用費,印刷製本費,,,,6152,5452,-700,-11.4,減額,5448
議会費,議会費,議会費,役務費,,,,,2009,2219,210,10.5,増額,1916
議会費,議会費,議会費,役務費,通信運搬費,,,,1671,1920,249,14.9,増額,1853
議会費,議会費,議会費,役務費,広告料,,,,264,264,0,0,横ばい,2988
議会費,議会費,議会費,役務費,手数料,,,,49,35,-14,-28.6,減額,4505
議会費,議会費,議会費,役務費,保険料,,,,25,0,-25,-100,廃止,4631
議会費,議会費,議会費,委託料,,,,,7028,7610,582,8.3,増額,1498
議会費,議会費,議会費,使用料及び賃借料,,,,,5414,5407,-7,-0.1,減額,4385
議会費,議会費,議会費,備品購入費,,,,,4443,229,-4214,-94.8,減額,5851
議会費,議会費,議会費,負担金、補助及び交付金,,,,,13924,14027,103,0.7,増額,2182
議会費,議会費,議会費,負担金、補助及び交付金,負担金,,,,1636,1739,103,6.3,増額,2183
議会費,議会費,議会費,負担金、補助及び交付金,交付金,,,,12288,12288,0,0,横ばい,2989
議会費,議会費,議会費,公課費,,,,,30,0,-30,-100,廃止,4660
議会費,議会費,議会費,,,給与費,,,455856,448879,-6977,-1.5,減額,5933
議会費,議会費,議会費,,,給与費,市議会議員　３２人,,355394,352146,-3248,-0.9,減額,5782
議会費,議会費,議会費,,,給与費,一般職　１２人,,100462,0,-100462,-100,廃止,6224
議会費,議会費,議会費,,,議会活動費,,,43031,38853,-4178,-9.7,減額,5850
議会費,議会費,議会費,,,議会活動費,議会人事管理事業費,,444,442,-2,-0.5,減額,4261
議会費,議会費,議会費,,,議会活動費,議会人事管理事業費,市議会議員共済会事務負担金,416,416,0,0,横ばい,2990
議会費,議会費,議会費,,,議会活動費,議事運営事業費,,17150,18183,1033,6,増額,1284
議会費,議会費,議会費,,,議会活動費,議事運営事業費,本会議及び各委員会等運営,,,,,不明,
議会費,議会費,議会費,,,議会活動費,議事運営事業費,各委員会等行政視察,,,,,不明,
議会費,議会費,議会費,,,議会活動費,議事運営事業費,ペーパーレス会議等対応,,,,,不明,
議会費,議会費,議会費,,,議会活動費,議事運営事業費,議場音響・映像設備運用管理,,,,,不明,
議会費,議会費,議会費,,,議会活動費,議事運営事業費,全員協議会室及び委員会室,,,,,不明,
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,,6193,1806,-4387,-70.8,減額,5858
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,議長車更新,,0,,,廃止,
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,全国市議会議長会負担金,925,925,0,0,横ばい,2991
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,県市議会議長会負担金,53,107,54,101.9,増額,2388
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,全国自治体病院経営都市議会協議会,18,18,0,0,横ばい,2992
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,全国高速自動車道市議会協議会負担金,20,20,0,0,横ばい,2993
議会費,議会費,議会費,,,議会活動費,議会渉外事業費,会議、研修会出席者負担金,151,151,0,0,横ばい,2994
議会費,議会費,議会費,,,議会活動費,議員調査活動事業費,,13150,13140,-10,-0.1,減額,4441
議会費,議会費,議会費,,,議会活動費,議員調査活動事業費,政務活動費交付金,12288,12288,0,0,横ばい,2995
議会費,議会費,議会費,,,議会活動費,議会広報事業費,,6094,5282,-812,-13.3,減額,5483
議会費,議会費,議会費,,,議会活動費,議会広報事業費,議会だより発行,,,,,不明,
議会費,議会費,議会費,,,議会事務局運営費,,,559,719,160,28.6,増額,2047
議会費,議会費,議会費,,,議会事務局運営費,議会事務局運営費,,559,719,160,28.6,増額,2048
議会費,議会費,議会費,,,議会事務局運営費,議会事務局運営費,会議、研修会出席者負担金,53,58,5,9.4,増額,2851
総務費,,,,,,,,9851001,9616154,-234847,-2.4,減額,6258
総務費,総務管理費,,,,,,,8032062,7848456,-183606,-2.3,減額,6249
総務費,総務管理費,一般管理費,,,,,,2240363,2194678,-45685,-2,減額,6167
総務費,総務管理費,一般管理費,給料,,,,,806031,829876,23845,3,増額,334
総務費,総務管理費,一般管理費,職員手当等当,,,,,752856,1074874,322018,42.8,増額,52
総務費,総務管理費,一般管理費,職員手当等当,管理職手当,,,,20920,19847,-1073,-5.1,減額,5546
総務費,総務管理費,一般管理費,職員手当等当,扶養手当,,,,25232,25908,676,2.7,増額,1429
総務費,総務管理費,一般管理費,職員手当等当,地域手当,,,,25314,34512,9198,36.3,増額,546
総務費,総務管理費,一般管理費,職員手当等当,住居手当,,,,8666,9888,1222,14.1,増額,1218
総務費,総務管理費,一般管理費,職員手当等当,通勤手当,,,,17034,16732,-302,-1.8,減額,5238
総務費,総務管理費,一般管理費,職員手当等当,時間外勤務手,,,,84078,83000,-1078,-1.3,減額,5548
総務費,総務管理費,一般管理費,職員手当等当,休日勤務手当,,,,1800,1800,0,0,横ばい,2996
総務費,総務管理費,一般管理費,職員手当等当,期末手当,,,,200870,209847,8977,4.5,増額,550
総務費,総務管理費,一般管理費,職員手当等当,勤勉手当,,,,149784,159077,9293,6.2,増額,542
総務費,総務管理費,一般管理費,職員手当等当,退職手当,,,,76016,378293,302277,397.6,増額,57
総務費,総務管理費,一般管理費,職員手当等当,児童手当,,,,142710,135970,-6740,-4.7,減額,5927
総務費,総務管理費,一般管理費,職員手当等当,単身赴任手当,,,,432,0,-432,-100,廃止,5327
総務費,総務管理費,一般管理費,共済費,,,,,270090,276350,6260,2.3,増額,678
総務費,総務管理費,一般管理費,旅費,,,,,1257,1212,-45,-3.6,減額,4756
総務費,総務管理費,一般管理費,旅費,普通旅費,,,,292,221,-71,-24.3,減額,4868
総務費,総務管理費,一般管理費,旅費,特別旅費,,,,965,991,26,2.7,増額,2565
総務費,総務管理費,一般管理費,需用費,,,,,1329,1379,50,3.8,増額,2405
総務費,総務管理費,一般管理費,需用費,消耗品費,,,,1129,1139,10,0.9,増額,2756
総務費,総務管理費,一般管理費,需用費,食糧費,,,,5,5,0,0,横ばい,2997
総務費,総務管理費,一般管理費,需用費,印刷製本費,,,,195,235,40,20.5,増額,2463
総務費,総務管理費,一般管理費,役務費,,,,,2986,3289,303,10.1,増額,1764
総務費,総務管理費,一般管理費,役務費,手数料,,,,5,3,-2,-40,減額,4262
総務費,総務管理費,一般管理費,役務費,保険料,,,,2981,3286,305,10.2,増額,1759
総務費,総務管理費,一般管理費,使用料及び賃借料,,,,,100,100,0,0,横ばい,2998
